Kubek;Dno
38,69;32,3
38,63;32,2
38,56;32,2
38,5;32,2
38,44;32,1
38,38;32,1
38,31;32,1
38,31;32,1
38,25;32
38,19;32
38,19;32
38,13;31,9
38,13;31,9
38,06;31,9
38;31,8
38;31,8
37,94;31,8
37,88;31,8
37,81;31,7
37,81;31,7
37,75;31,7
37,69;31,6
37,63;31,6
37,63;31,6
37,56;31,6
37,56;31,6
37,5;31,5
37,5;31,5
37,44;31,5
37,38;31,5
37,38;31,4
37,31;31,4
37,31;31,4
37,25;31,4
37,25;31,4
37,19;31,3
37,13;31,3
37,06;31,2
37;31,2
36,94;31,1
36,88;31,1
36,81;31,1
36,75;31
36,75;31
36,69;31
36,63;30,9
36,63;30,9
36,56;30,9
36,5;30,8
36,5;30,8
36,44;30,8
36,38;30,8
36,38;30,7
36,31;30,7
36,31;30,7
36,25;30,7
36,19;30,6
36,13;30,6
36,06;30,5
36;30,5
35,94;30,5
35,88;30,4
35,88;30,4
35,81;30,4
35,75;30,3
35,69;30,3
35,63;30,2
35,56;30,2
35,5;30,2
35,44;30,1
35,44;30,1
35,38;30,1
35,31;30
35,25;30
35,25;30
35,19;30
35,19;29,9
35,13;29,9
35,06;29,9
35;29,8
34,94;29,8
34,88;29,8
34,81;29,7
34,75;29,7
34,69;29,6
34,69;29,6
34,63;29,6
34,63;29,6
34,56;29,5
34,5;29,5
34,44;29,5
34,44;29,4
34,38;29,4
34,38;29,4
34,31;29,3
34,25;29,3
34,19;29,3
34,13;29,2
34,06;29,2
34,06;29,2
34;29,1
33,94;29,1
33,94;29,1
33,88;29,1
33,81;29
33,75;29
33,69;29
33,63;28,9
33,56;28,9
33,56;28,9
33,5;28,8
33,44;28,8
33,38;28,7
33,38;28,7
33,31;28,7
