Dno;Kubek
37,7;45,25
37,7;45,19
37,6;45,13
37,6;45,06
37,6;45,06
37,5;45
37,5;44,94
37,4;44,88
37,3;44,81
37,3;44,75
37,3;44,75
37,3;44,69
37,2;44,63
37,2;44,63
37,2;44,56
37,1;44,5
37,1;44,44
37,1;44,38
37;44,31
36,9;44,25
36,9;44,19
36,9;44,13
36,9;44,13
36,8;44,06
36,8;44
36,8;43,94
36,7;43,88
36,7;43,81
36,6;43,75
36,6;43,69
36,5;43,63
36,5;43,56
36,4;43,5
36,4;43,44
36,3;43,38
36,3;43,31
36,2;43,25
36,3;43,25
36,2;43,19
36,1;43,13
36,1;43,06
36,1;43
36;42,94
36;42,88
36;42,88
35,9;42,81
35,9;42,75
35,8;42,69
35,8;42,63
35,7;42,56
35,7;42,56
35,7;42,5
35,7;42,44
35,6;42,38
35,6;42,38
35,6;42,31
35,6;42,31
35,5;42,25
35,5;42,19
35,4;42,13
35,4;42,06
35,3;42
35,3;41,94
35,2;41,88
35,2;41,81
35,1;41,75
35,1;41,75
35,1;41,69
35;41,63
35;41,56
34,9;41,5
34,9;41,44
34,9;41,38
34,9;41,31
34,8;41,31
34,8;41,25
34,8;41,19
34,7;41,13
34,7;41,06
34,6;41
34,6;40,94
34,6;40,88
34,5;40,81
34,5;40,81
34,5;40,75
34,5;40,69
34,4;40,69
34,4;40,63
34,4;40,56
34,3;40,5
34,3;40,44
34,2;40,38
34,2;40,31
34,2;40,31
34,2;40,25
34,1;40,19
34,1;40,19
34,1;40,13
34;40,06
34;40,06
34;40
33,9;39,94
33,9;39,94
33,9;39,88
33,8;39,94
33,8;39,88
33,8;39,81
33,8;39,75
33,8;39,69
33,8;39,63
33,7;39,56
33,7;39,5
33,6;39,44
33,6;39,38
33,5;39,31
33,5;39,25
33,4;39,19
33,4;39,13
33,4;39,06
33,3;39
33,3;38,94
33,3;38,88
33,2;38,81
33,2;38,75
33,1;38,69
33,1;38,63
33,1;38,56
33;38,5
33;38,44
33;38,44
33;38,38
32,9;38,31
32,9;38,25
32,8;38,19
32,8;38,13
32,7;38,06
32,7;38
32,7;37,94
32,7;37,94
32,6;37,88
32,6;37,88
32,6;37,81
32,6;37,81
32,5;37,75
32,5;37,69
32,5;37,69
32,4;37,63
32,4;37,56
32,4;37,56
32,4;37,5
32,4;37,5
32,3;37,44
32,3;37,38
32,2;37,31
32,2;37,25
32,2;37,25
32,2;37,19
32,1;37,19
32,1;37,13
32,1;37,06
32;37
32;36,94
31,9;36,88
31,9;36,81
31,9;36,81
31,9;36,75
31,8;36,69
31,8;36,63
31,7;36,63
31,7;36,56
31,7;36,5
31,6;36,44
31,6;36,44
31,6;36,38
31,5;36,31
31,5;36,25
31,5;36,25
31,4;36,19
31,4;36,13
31,3;36,13
31,3;36,06
31,3;36
31,2;35,94
31,2;35,88
31,1;35,81
31,1;35,81
31,1;35,75
31,1;35,69
31;35,63
31;35,63
31;35,56
31;35,56
31;35,5
30,9;35,5
30,9;35,44
30,9;35,38
30,8;35,31
30,8;35,25
30,8;35,25
30,7;35,19
30,7;35,13
30,7;35,06
30,6;35
30,6;34,94
30,6;34,94
30,5;34,88
30,5;34,81
30,5;34,81
30,4;34,75
30,4;34,75
30,4;34,69
30,4;34,69
30,3;34,63
30,3;34,56
30,3;34,56
30,3;34,5
30,3;34,5
30,2;34,44
30,2;34,38
30,1;34,31
30,1;34,25
30,1;34,25
30,1;34,25
30,1;34,19
30,1;34,19
30;34,13
30;34,13
30;34,06
29,9;34
29,9;33,94
29,8;33,88
29,8;33,88
29,8;33,81
29,8;33,81
29,7;33,75
29,7;33,75
29,7;33,69
29,7;33,69
29,7;33,63
29,6;33,56
29,6;33,56
29,6;33,5
29,6;33,44
29,5;33,38
29,5;33,38
29,5;33,31
29,4;33,25
29,4;33,25
29,4;33,19
29,3;33,13
29,3;33,13
29,3;33,06
29,3;33
29,2;33
29,2;32,94
29,2;32,88
29,2;32,88
29,1;32,81
29,1;32,75
29,1;32,75
29,1;32,69
29;32,63
29;32,56
28,9;32,5
28,9;32,44
28,9;32,44
28,9;32,38
28,8;32,31
28,8;32,31
28,8;32,25
28,8;32,25
28,8;32,25
28,8;32,19
28,7;32,13
28,7;32,13
28,7;32,06
28,7;32
28,6;31,94
28,6;31,94
28,6;31,87
28,6;31,87
28,5;31,81
28,5;31,75
28,5;31,69
28,5;31,69
28,4;31,62
28,4;31,56
28,3;31,5
28,3;31,44
28,2;31,37
28,2;31,31
28,2;31,31
28,2;31,31
28,1;31,25
28,1;31,19
28,1;31,19
28,1;31,12
28,1;31,12
28,1;31,12
28;31,06
28;31
28;30,94
28;30,94
27,9;30,87
27,9;30,81
27,9;30,81
27,8;30,75
27,8;30,75
27,8;30,69
27,7;30,62
27,7;30,62
27,7;30,62
27,7;30,56
27,7;30,5
27,7;30,5
27,6;30,44
27,6;30,44
27,6;30,44
27,6;30,37
27,5;30,31
27,5;30,31
27,5;30,25
27,5;30,25
27,5;30,25
27,4;30,19
27,4;30,19
27,4;30,12
27,4;30,12
27,3;30,06
27,3;30,06
27,3;30
27,3;29,94
27,3;29,94
27,2;29,87
27,2;29,87
27,2;29,81
27,1;29,81
27,1;29,75
27,1;29,75
27,1;29,69
27;29,62
27;29,62
27;29,56
27;29,56
26,9;29,56
26,9;29,5
26,9;29,5
26,9;29,5
26,8;29,44
26,8;29,37
26,8;29,37
26,8;29,31
26,7;29,25
26,7;29,25
26,7;29,19
26,7;29,19
26,6;29,12
26,6;29,06
26,6;29,06
26,6;29
26,6;29
26,5;28,94
26,5;28,94
26,5;28,87
26,5;28,87
26,4;28,81
26,4;28,81
26,4;28,75
26,4;28,75
26,3;28,69
26,3;28,62
26,3;28,62
26,3;28,56
26,2;28,5
26,2;28,5
26,2;28,44
26,2;28,44
26,2;28,44
26,1;28,37
26,1;28,37
26,1;28,37
26,1;28,31
26,1;28,31
26,1;28,25
26,1;28,25
26;28,19
26;28,19
26;28,19
26;28,12
25,9;28,06
25,9;28,06
25,9;28,06
25,9;28
25,9;28
25,9;27,94
25,8;27,94
25,8;27,94
