Dno;Kubek
33,7;41,69
33,6;41,63
33,6;41,56
33,6;41,5
33,5;41,44
33,5;41,38
33,4;41,31
33,4;41,25
33,4;41,19
33,3;41,13
33,3;41,06
33,3;41
33,2;40,94
33,2;40,88
33,2;40,81
33,1;40,81
33,1;40,75
33,1;40,69
33;40,63
33;40,56
32,9;40,5
32,9;40,44
32,9;40,38
32,9;40,31
32,8;40,25
32,8;40,19
32,7;40,13
32,7;40,06
32,7;40
32,6;39,94
32,6;39,88
32,6;39,81
32,5;39,75
32,5;39,69
32,4;39,63
32,4;39,56
32,4;39,5
32,3;39,44
32,3;39,38
32,3;39,31
32,2;39,25
32,2;39,25
32,2;39,19
32,2;39,13
32,1;39,06
32,1;39
32,1;38,94
32;38,88
32;38,81
31,9;38,75
31,9;38,69
31,8;38,63
31,8;38,56
31,7;38,5
31,7;38,44
31,6;38,38
31,6;38,31
31,6;38,31
31,5;38,25
31,5;38,25
31,5;38,19
31,5;38,13
31,4;38,06
31,4;38
31,4;37,94
31,3;37,88
31,3;37,81
31,3;37,75
31,2;37,69
31,2;37,63
31,2;37,63
31,2;37,56
31,1;37,5
31,1;37,44
31;37,38
31;37,31
30,9;37,25
30,9;37,19
30,9;37,13
30,8;37,06
30,8;37
30,8;36,94
30,7;36,88
30,7;36,81
30,7;36,75
30,6;36,69
30,6;36,63
30,5;36,56
30,5;36,5
30,5;36,44
30,4;36,38
30,4;36,31
30,3;36,25
30,3;36,19
30,3;36,19
30,3;36,13
30,2;36,06
30,2;36
30,2;36
30,1;35,94
30,1;35,88
30,1;35,81
30;35,75
30;35,69
30;35,63
29,9;35,56
29,9;35,5
29,9;35,44
29,9;35,44
29,8;35,38
29,8;35,31
29,8;35,25
29,7;35,19
29,7;35,19
29,7;35,13
29,7;35,06
29,6;35
29,6;34,94
29,6;34,94
29,5;34,88
29,5;34,81
29,4;34,75
29,4;34,69
29,4;34,63
29,4;34,63
29,3;34,56
29,3;34,5
29,3;34,44
29,2;34,38
29,2;34,38
29,2;34,31
29,2;34,25
29,2;34,25
29,1;34,19
29,1;34,13
29;34,06
29;34
29;33,94
28,9;33,88
28,9;33,81
28,9;33,75
28,9;33,75
28,8;33,69
28,8;33,63
28,8;33,56
28,7;33,5
28,7;33,44
28,6;33,38
28,6;33,31
28,6;33,25
28,5;33,19
28,5;33,13
28,5;33,06
28,4;33
28,4;32,94
28,4;32,88
28,4;32,88
28,3;32,81
28,3;32,81
28,3;32,81
28,3;32,75
28,2;32,69
28,2;32,63
28,2;32,56
28,1;32,5
28,1;32,44
28,1;32,44
28,1;32,38
28;32,31
28;32,25
28;32,19
28;32,19
27,9;32,13
27,9;32,06
27,8;32
27,8;31,94
27,8;31,94
27,8;31,87
27,7;31,81
27,7;31,75
27,7;31,69
27,6;31,62
27,6;31,5
27,6;31,44
27,6;31,31
27,6;31,25
27,6;31,19
27,6;31,12
27,6;31,06
27,6;31
27,6;30,94
27,6;30,87
27,6;30,81
27,6;30,75
27,5;30,69
27,5;30,62
27,5;30,62
27,5;30,56
27,4;30,5
27,4;30,44
27,4;30,37
27,4;30,31
27,3;30,25
27,3;30,19
27,3;30,12
27,2;30,06
