Kubek;Dno
34,50;28,6
34,44;28,6
34,38;28,6
34,31;28,5
34,25;28,5
34,19;28,4
34,13;28,4
34,13;28,4
34,06;28,4
34,00;28,4
34,00;28,4
33,94;28,3
33,94;28,3
33,88;28,3
33,81;28,3
33,75;28,2
33,69;28,2
33,63;28,2
33,56;28,1
33,50;28,1
33,44;28,0
33,38;28,0
33,31;28,0
33,25;27,9
33,25;27,9
33,19;27,9
33,13;27,9
33,06;27,9
33,06;27,9
33,00;27,8
33,00;27,8
32,94;27,8
32,94;27,8
32,88;27,7
32,81;27,7
32,81;27,7
32,75;27,7
32,75;27,7
32,69;27,6
32,63;27,6
32,56;27,6
32,50;27,6
32,44;27,5
32,38;27,5
32,31;27,5
32,25;27,4
32,25;27,4
32,19;27,4
32,13;27,3
32,06;27,3
32,06;27,3
32,00;27,3
32,00;27,3
31,94;27,2
31,94;27,2
31,94;27,3
31,87;27,2
31,81;27,2
31,81;27,2
31,81;27,2
31,75;27,1
31,75;27,2
31,69;27,1
31,69;27,1
31,69;27,1
31,62;27,1
31,56;27,1
31,50;27,0
31,44;27,0
31,44;27,0
31,37;27,0
31,37;27,0
31,31;26,9
31,25;26,9
31,19;26,9
31,12;26,8
31,12;26,8
31,06;26,8
31,00;26,8
30,94;26,7
30,94;26,7
30,87;26,7
30,87;26,7
30,81;26,7
30,75;26,6
30,75;26,6
30,75;26,6
30,69;26,6
30,69;26,6
30,62;26,6
30,56;26,5
30,56;26,5
30,56;26,5
30,56;26,5
30,50;26,5
30,50;26,5
30,44;26,5
30,44;26,5
30,37;26,5
30,37;26,5
30,37;26,5
30,31;26,4
30,31;26,4
30,31;26,4
30,25;26,4
30,25;26,4
30,19;26,4
30,19;26,4
30,12;26,3
30,12;26,3
30,06;26,3
30,00;26,3
30,00;26,2
29,94;26,2
29,87;26,2
29,81;26,2
29,81;26,2
29,81;26,2
29,81;26,2
29,75;26,1
29,75;26,1
29,75;26,1
29,69;26,1
29,69;26,1
29,69;26,1
29,62;26,1
29,56;26,0
29,50;26,0
29,50;26,0
29,44;26,0
29,44;26,0
29,44;25,9
29,37;25,9
29,37;25,9
29,37;25,9
29,31;25,9
29,31;25,9
29,31;25,9
29,25;25,9
29,25;25,8
29,25;25,8
29,25;25,8
29,19;25,8
29,19;25,8
29,12;25,8
29,12;25,8
29,06;25,7
29,00;25,7
29,00;25,7
28,94;25,7
28,94;25,7
28,94;25,7
28,87;25,7
28,87;25,6
28,81;25,6
28,81;25,6
28,81;25,6
28,75;25,6
28,75;25,6
28,69;25,5
28,62;25,5
28,56;25,5
28,50;25,4
28,50;25,4
28,44;25,4
28,37;25,3
28,31;25,3
28,31;25,3
28,25;25,3
28,25;25,3
28,25;25,3
28,19;25,2
28,19;25,2
28,19;25,2
28,19;25,2
28,12;25,2
28,06;25,2
28,06;25,1
28,06;25,2
28,00;25,1
28,00;25,1
27,94;25,1
27,94;25,1
27,87;25,0
27,81;25,0
27,81;25,0
27,75;24,9
27,69;24,9
27,69;24,9
27,69;24,9
27,62;24,9
27,62;24,8
27,62;24,8
27,62;24,8
27,56;24,8
27,50;24,8
27,50;24,8
27,50;24,8
27,44;24,7
27,37;24,7
27,37;24,7
27,31;24,7
27,31;24,7
27,25;24,7
27,25;24,7
27,19;24,6
27,19;24,6
27,19;24,6
27,19;24,6
27,19;24,6
27,12;24,6
27,06;24,6
27,06;24,6
27,06;24,6
27,06;24,6
27,06;24,6
27,00;24,5
27,00;24,5
27,00;24,5
26,94;24,5
26,94;24,5
26,87;24,5
26,87;24,5
26,87;24,5
26,87;24,5
26,81;24,4
26,81;24,4
26,75;24,4
26,75;24,4
26,75;24,4
26,69;24,4
26,69;24,4
26,62;24,3
26,62;24,3
26,56;24,3
26,56;24,3
