Kubek;Dno
48,44;44,7
48,38;44,6
48,31;44,6
48,25;44,5
48,19;44,5
48,13;44,5
48,06;44,4
48,00;44,4
47,94;44,3
47,88;44,3
47,81;44,3
47,75;44,2
47,69;44,1
47,69;44,1
47,63;44,1
47,56;44,0
47,50;44,0
47,44;44,0
47,38;43,8
47,31;43,7
47,25;43,7
47,19;43,6
47,13;43,6
47,06;43,5
47,00;43,4
46,94;43,4
46,88;43,4
46,81;43,3
46,75;43,2
46,69;43,2
46,63;43,1
46,56;43,1
46,50;43,1
46,44;43,0
46,38;43,0
46,31;42,9
46,25;42,8
46,19;42,7
46,13;42,7
46,06;42,6
46,00;42,6
45,94;42,6
45,88;42,5
45,81;42,5
45,75;42,5
45,69;42,4
45,63;42,4
45,56;42,3
45,50;42,3
45,44;42,2
45,38;42,1
45,31;42,1
45,25;42,1
45,19;42,0
45,13;41,9
45,13;41,9
45,06;41,8
45,00;41,7
44,94;41,7
44,88;41,6
44,81;41,6
44,75;41,5
44,69;41,5
44,63;41,4
44,56;41,4
44,50;41,4
44,44;41,3
44,38;41,2
44,31;41,2
44,25;41,1
44,19;41,1
44,13;41,0
44,06;41,0
44,00;41,0
43,94;40,9
43,88;40,9
43,81;40,8
43,75;40,8
43,69;40,7
43,63;40,7
43,56;40,6
43,50;40,6
43,44;40,5
43,38;40,4
43,38;40,4
43,31;40,4
43,25;40,3
43,19;40,3
43,13;40,2
43,06;40,1
43,00;40,1
42,94;40,0
42,88;40,0
42,88;40,0
42,81;40,0
42,75;39,9
42,69;39,8
42,63;39,8
42,56;39,7
42,50;39,7
42,44;39,6
42,38;39,6
42,31;39,5
42,25;39,5
42,19;39,4
42,19;39,4
42,13;39,3
42,06;39,3
42,00;39,2
41,94;39,1
41,88;39,1
41,81;39,1
41,75;39,0
41,69;39,0
41,63;38,9
41,56;38,9
41,50;38,8
41,44;38,8
41,38;38,7
41,31;38,6
41,25;38,6
41,19;38,6
41,13;38,5
41,13;38,5
41,06;38,5
41,00;38,4
40,94;38,3
40,88;38,3
40,81;38,2
40,75;38,2
40,69;38,1
40,63;38,1
40,56;38,1
40,56;38,1
40,50;38,0
40,44;38,0
40,38;38,0
40,31;37,9
40,25;37,9
40,19;37,8
40,19;37,8
40,19;37,8
40,19;37,7
40,13;37,6
40,06;37,5
40,00;37,5
39,94;37,5
39,88;37,4
39,81;37,3
39,75;37,3
39,69;37,3
39,63;37,2
39,56;37,2
39,50;37,1
39,44;37,1
39,38;37,0
39,31;37,0
39,25;37,0
39,19;36,9
39,13;36,9
39,06;36,8
39,06;36,8
39,00;36,7
38,94;36,7
38,88;36,6
38,81;36,6
38,81;36,5
38,75;36,5
38,69;36,4
38,63;36,4
38,56;36,4
38,50;36,4
38,44;36,3
38,38;36,2
38,31;36,1
38,25;36,1
38,19;36,1
38,13;36,0
38,06;35,9
38,00;35,9
37,94;35,8
37,94;35,8
37,88;35,7
37,81;35,7
37,75;35,6
37,69;35,6
37,63;35,6
37,56;35,5
37,50;35,4
37,44;35,4
37,44;35,4
37,38;35,3
37,31;35,3
37,25;35,3
37,19;35,2
37,19;35,0
37,19;35,0
37,13;35,0
37,06;34,9
37,00;34,9
36,94;34,9
36,94;34,9
36,88;34,8
36,81;34,8
36,75;34,7
36,69;34,6
36,63;34,6
36,56;34,5
36,50;34,4
36,50;34,4
36,44;34,4
36,38;34,3
36,31;34,3
36,25;34,2
36,19;34,2
36,13;34,1
36,06;34,1
36,00;34,0
35,94;34,0
35,88;33,9
35,81;33,9
35,75;33,8
35,69;33,8
35,63;33,8
35,56;33,7
35,50;33,6
35,44;33,5
35,38;33,5
35,31;33,4
35,31;33,4
35,25;33,4
35,19;33,3
35,13;33,3
35,13;33,3
35,06;33,3
35,00;33,2
34,94;33,2
34,94;33,2
34,88;33,1
34,81;33,0
34,75;33,0
34,69;32,9
34,63;32,9
34,63;32,9
34,56;32,8
34,50;32,7
34,50;32,7
34,44;32,7
34,38;32,7
34,31;32,6
34,31;32,6
34,25;32,5
34,19;32,5
34,19;32,5
34,13;32,4
34,06;32,4
34,00;32,4
33,94;32,3
33,88;32,2
33,81;32,2
33,75;32,1
33,75;32,1
33,69;32,1
33,63;32,0
33,56;32,0
33,50;31,9
33,44;31,8
33,38;31,8
33,31;31,8
33,31;31,8
33,25;31,7
33,25;31,7
33,19;31,6
33,13;31,6
33,06;31,5
33,00;31,5
32,94;31,4
32,88;31,4
32,81;31,3
32,75;31,3
32,69;31,2
32,69;31,2
32,63;31,2
32,63;31,2
32,56;31,1
32,50;31,1
32,44;31,0
32,38;30,9
32,31;30,9
32,25;30,8
32,19;30,8
32,13;30,7
32,06;30,7
32,00;30,7
32,00;30,7
31,94;30,6
31,94;30,6
31,87;30,5
31,81;30,5
31,75;30,5
31,69;30,4
31,69;30,4
31,62;30,3
31,62;30,3
31,56;30,3
31,50;30,2
31,50;30,2
31,44;30,2
31,37;30,1
31,31;30,0
31,25;30,0
31,25;30,0
31,19;29,9
31,12;29,8
31,06;29,8
31,00;29,8
30,94;29,7
30,94;29,7
30,87;29,7
30,81;29,6
30,75;29,6
30,75;29,5
30,69;29,5
30,69;29,5
30,69;29,5
30,62;29,4
30,62;29,4
30,56;29,4
30,50;29,3
30,44;29,3
30,44;29,3
30,37;29,2
30,37;29,2
30,31;29,2
30,25;29,1
30,19;29,0
30,19;29,0
30,12;29,0
30,06;28,9
30,06;28,9
30,00;28,9
29,94;28,8
29,94;28,8
29,87;28,8
29,87;28,8
29,87;28,8
29,81;28,7
29,75;28,6
29,69;28,6
29,69;28,6
29,62;28,6
29,56;28,5
29,56;28,5
29,50;28,5
29,50;28,5
29,44;28,4
29,44;28,4
29,37;28,4
29,31;28,3
29,25;28,3
29,19;28,2
29,12;28,2
29,12;28,2
29,12;28,1
29,06;28,1
29,00;28,0
28,94;28,0
28,94;28,0
28,87;27,9
28,81;27,9
28,75;27,8
28,75;27,8
28,75;27,8
28,69;27,8
28,62;27,7
28,62;27,7
28,56;27,7
28,50;27,6
28,50;27,6
28,44;27,6
28,44;27,6
28,44;27,5
28,37;27,5
28,31;27,5
28,31;27,4
28,25;27,4
28,19;27,4
28,12;27,3
28,06;27,3
28,06;27,3
28,00;27,2
27,94;27,1
27,87;27,1
27,81;27,0
27,81;27,0
27,81;27,0
27,75;27,0
27,69;26,9
27,62;26,9
27,56;26,8
27,50;26,8
27,44;26,7
27,44;26,7
27,37;26,6
27,37;26,6
27,37;26,6
27,37;26,6
2
